field_1,utility_name,date,time,latitude,longitude,material_at_origin,size,type,suspected_initiating_event,highlight,year
"2793",PG&E,2018/07/17 00:00:00,16:53,38.3955,-122.9212,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"2796",PG&E,2014/07/24 00:00:00,11:56,38.39147,-122.93053,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2014
"2797",PG&E,2016/06/04 00:00:00,22:15,38.5117,-122.93727,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2798",PG&E,2014/08/31 00:00:00,2:12,38.41937,-122.94964,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2799",PG&E,2019/05/15 00:00:00,21:31,38.57309035,-122.9603166,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"2801",PG&E,2017/09/24 00:00:00,16:42,38.3869,-122.9667,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"2802",PG&E,2019/06/08 00:00:00,18:51,38.610529,-122.973182,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"2803",PG&E,2018/05/11 00:00:00,10:13,38.387,-122.9856,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2804",PG&E,2017/05/25 00:00:00,16:55,38.3986,-122.9876,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2805",PG&E,2015/05/21 00:00:00,9:23,38.59964,-122.99354,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2808",PG&E,2017/10/11 00:00:00,11:57,38.501533,-123.023665,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2809",PG&E,2014/10/09 00:00:00,19:10,38.46195,-123.04183,Vegetation,.26 - 9.99 Acres,Overhead,Equipment/ Facility Failure,False,2014
"2812",PG&E,2014/06/29 00:00:00,19:53,38.5208,-123.06067,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2865",PG&E,2019/08/19 00:00:00,17:27,40.9399117,-123.6322117,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"2869",PG&E,2018/09/29 00:00:00,16:16,41.021948,-123.655,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2871",PG&E,2016/07/29 00:00:00,1:31,41.03964007,-123.6740322,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2875",PG&E,2018/07/21 00:00:00,16:16,40.343889,-123.709167,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2881",PG&E,2017/07/22 00:00:00,12:25,40.8795,-123.7638,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"2888",PG&E,2015/09/21 00:00:00,14:23,40.478632,-123.771047,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2893",PG&E,2018/12/14 00:00:00,10:32,40.437882,-123.783373,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
