field_1,utility_name,date,time,latitude,longitude,material_at_origin,size,type,suspected_initiating_event,highlight,year
"1391",PG&E,2016/09/23 00:00:00,15:23,39.37836,-121.092249,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"1403",PG&E,2017/10/08 00:00:00,22:58,39.364225,-121.113065,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1408",PG&E,2018/08/26 00:00:00,15:29,39.3599,-121.1209,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"1500",PG&E,2017/08/15 00:00:00,19:28,39.50371,-121.27826,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1517",PG&E,2014/10/11 00:00:00,10:19,39.57652,-121.30538,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2014
"1551",PG&E,2017/09/27 00:00:00,12:12,39.4845,-121.3545,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1569",PG&E,2019/11/22 00:00:00,4:43,39.67356,-121.3854967,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"1586",PG&E,2017/10/08 00:00:00,20:35,39.6315,-121.4225,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1597",PG&E,2017/07/25 00:00:00,19:12,39.5997,-121.4449,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2017
"1604",PG&E,2014/08/01 00:00:00,16:17,39.62531999,-121.45238,Vegetation,< 0.25 Acres,Overhead,Unknown,False,2014
"1623",PG&E,2017/09/15 00:00:00,14:55,39.746074,-121.488534,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1626",PG&E,2015/04/02 00:00:00,9:44,39.67721999,-121.491979,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2015
"1630",PG&E,2018/07/23 00:00:00,17:27,39.73397,-121.49654,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2018
"1632",PG&E,2015/06/28 00:00:00,21:07,39.740482,-121.497371,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2015
"1634",PG&E,2014/08/11 00:00:00,14:35,39.672523,-121.498317,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"1714",PG&E,2015/10/04 00:00:00,1:03,39.792282,-121.580291,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"1716",PG&E,2018/08/20 00:00:00,9:34,39.801383,-121.581333,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"1720",PG&E,2017/06/30 00:00:00,1:20,39.82097566,-121.5883392,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1729",PG&E,2017/10/08 00:00:00,19:44,39.744593,-121.597041,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"1736",PG&E,2016/06/30 00:00:00,0:03,39.8157,-121.5994,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"1741",PG&E,2017/09/12 00:00:00,9:24,39.740951,-121.607869,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1749",PG&E,2018/07/25 00:00:00,0:42,39.779081,-121.617343,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"1756",PG&E,2014/07/05 00:00:00,23:17,39.81977,-121.626222,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"1757",PG&E,2017/07/02 00:00:00,13:28,39.860548,-121.627364,Vegetation,10 - 99 Acres,Overhead,Contact From Object,True,2017
"1761",PG&E,2017/10/13 00:00:00,22:19,39.764849,-121.630749,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2017
"1762",PG&E,2019/11/29 00:00:00,20:18,39.85033,-121.631199,,< 0.25 Acres,Overhead,Equipment - PG&E,False,2019
"1775",PG&E,2017/07/01 00:00:00,12:02,39.820932,-121.641827,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2017
"1777",PG&E,2018/09/24 00:00:00,0:35,39.815236,-121.643764,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"1778",PG&E,2017/10/08 00:00:00,22:19,39.73711,-121.64642,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1783",PG&E,2018/02/12 00:00:00,20:20,39.939531,-121.649374,Vegetation,.26 - 9.99 Acres,Overhead,Equipment/ Facility Failure,False,2018
"1791",PG&E,2015/09/20 00:00:00,18:53,39.86379,-121.65991,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"1800",PG&E,2016/10/02 00:00:00,16:41,39.88877,-121.66482,Vegetation,< 0.25 Acres,Overhead,Other,False,2016
"1801",PG&E,2017/09/11 00:00:00,7:18,37.0008333,-121.66674,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"1820",PG&E,2015/10/03 00:00:00,21:11,39.73584,-121.68554,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"1834",PG&E,2019/06/19 00:00:00,11:44,39.86124,-121.69072,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"1844",PG&E,2016/09/16 00:00:00,20:56,39.83874,-121.70232,Vegetation,10 - 99 Acres,Overhead,Contact From Object,True,2016
"1846",PG&E,2014/07/24 00:00:00,15:51,39.836831,-121.703894,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"1875",PG&E,2020/12/07 00:00:00,3:14,39.9381717,-121.735825,Vegetation,.26 - 9.99 Acres,Overhead,Contact from object,False,2020
"1877",PG&E,2015/07/15 00:00:00,9:00,36.99698,-121.738119,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"1895",PG&E,2014/07/01 00:00:00,18:43,37.085422,-121.760738,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2014
"1906",PG&E,2015/10/25 00:00:00,5:50,37.784341,-121.768326,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"1919",PG&E,2019/10/28 00:00:00,17:48,37.030954,-121.778819,Vegetation,.26 - 9.99 Acres,Overhead,Vegetation,False,2019
"1975",PG&E,2018/08/03 00:00:00,9:45,40.49884,-121.83815,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"1984",PG&E,2018/10/28 00:00:00,8:50,36.379187,-121.845438,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2011",PG&E,2014/12/25 00:00:00,10:50,36.383716,-121.8663,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2030",PG&E,2015/11/15 00:00:00,16:30,37.00074999,-121.88503,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2031",PG&E,2015/09/09 00:00:00,10:47,37.10405,-121.885259,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2015
"2044",PG&E,2016/09/12 00:00:00,4:24,36.3999,-121.90201,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2068",PG&E,2016/10/14 00:00:00,1:32,40.50067999,-121.9162,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2075",PG&E,2017/09/02 00:00:00,12:01,37.6644517,-121.9222733,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2102",PG&E,2020/11/11 00:00:00,19:22,40.495691,-121.946736,Vegetation,.26 - 9.99 Acres,Overhead,Equipment - PG&E,False,2020
"2109",PG&E,2016/09/15 00:00:00,15:56,37.11023999,-121.950919,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2115",PG&E,2016/08/10 00:00:00,8:36,37.05749,-121.955569,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2116",PG&E,2018/11/13 00:00:00,15:41,37.064375,-121.9578,Vegetation,< 0.25 Acres,Overhead,Other,False,2018
"2124",PG&E,2016/08/08 00:00:00,15:44,37.1382033,-121.967225,Vegetation,< 0.25 Acres,Overhead,Unknown,False,2016
"2131",PG&E,2014/06/15 00:00:00,9:47,37.130774,-121.97141,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2139",PG&E,2020/12/07 00:00:00,10:10,37.07051684,-121.9772848,Vegetation,,Overhead,Contact from object,False,2020
"2140",PG&E,2018/11/07 00:00:00,15:49,37.0003467,-121.9801917,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2018
"2145",PG&E,2018/11/10 00:00:00,13:31,37.046727,-121.985325,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"2146",PG&E,2015/12/31 00:00:00,19:12,37.15677999,-121.986819,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2015
"2155",PG&E,2017/08/31 00:00:00,11:33,37.137863,-121.996581,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2158",PG&E,2014/10/05 00:00:00,22:32,37.122485,-121.999436,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2014
"2166",PG&E,2014/11/01 00:00:00,9:10,37.185932,-122.001203,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
